Arquivo,Dice Coefficient,Jaccard Index
lung0-mask.nii, 0.7460, 0.5949
lung1-mask.nii, 0.6272, 0.4569
lung2-mask.nii, 0.5648, 0.3935
lung3-mask.nii, 0.5323, 0.3627
lung4-mask.nii, 0.4672, 0.3048
lung5-mask.nii, 0.5676, 0.3963
lung6-mask.nii, 0.6578, 0.4901
lung7-mask.nii, 0.7990, 0.6653
lung8-mask.nii, 0.7914, 0.6549
lung9-mask.nii, 0.6733, 0.5075
lung10-mask.nii, 0.7193, 0.5617
lung11-mask.nii, 0.7334, 0.5791
lung12-mask.nii, 0.8587, 0.7524
lung13-mask.nii, 0.7490, 0.5987
lung14-mask.nii, 0.7477, 0.5971
lung15-mask.nii, 0.7549, 0.6063
lung16-mask.nii, 0.8361, 0.7183
lung17-mask.nii, 0.8309, 0.7107
lung18-mask.nii, 0.7206, 0.5632
lung19-mask.nii, 0.3489, 0.2113
lung20-mask.nii, 0.4427, 0.2842
lung21-mask.nii, 0.8160, 0.6891
lung22-mask.nii, 0.6800, 0.5152
lung23-mask.nii, 0.7304, 0.5753
lung24-mask.nii, 0.6647, 0.4978
lung25-mask.nii, 0.7070, 0.5468
lung26-mask.nii, 0.7004, 0.5389
lung27-mask.nii, 0.7860, 0.6475
lung28-mask.nii, 0.7086, 0.5487
lung29-mask.nii, 0.6942, 0.5317
lung30-mask.nii, 0.5542, 0.3834
lung31-mask.nii, 0.7518, 0.6024
lung32-mask.nii, 0.6819, 0.5174
lung33-mask.nii, 0.7745, 0.6319
lung34-mask.nii, 0.4822, 0.3177
lung35-mask.nii, 0.7649, 0.6193
lung36-mask.nii, 0.6783, 0.5132
lung37-mask.nii, 0.7673, 0.6224
lung38-mask.nii, 0.7203, 0.5629
lung39-mask.nii, 0.7889, 0.6514
lung40-mask.nii, 0.7855, 0.6468
lung41-mask.nii, 0.7460, 0.5949
lung42-mask.nii, 0.6443, 0.4753
lung43-mask.nii, 0.2068, 0.1153
lung44-mask.nii, 0.3098, 0.1833
lung45-mask.nii, 0.6914, 0.5283
lung46-mask.nii, 0.6952, 0.5328
lung47-mask.nii, 0.4003, 0.2502
lung48-mask.nii, 0.7450, 0.5936
lung49-mask.nii, 0.5186, 0.3501
lung50-mask.nii, 0.5942, 0.4226
lung51-mask.nii, 0.3701, 0.2271
lung52-mask.nii, 0.6776, 0.5124
lung53-mask.nii, 0.6260, 0.4556
lung54-mask.nii, 0.7425, 0.5905
