Arquivo,Dice Coefficient,Jaccard Index
lola11-01-pred, 0.0234, 0.0119
lola11-02-pred, 0.0368, 0.0188
lola11-03-pred, 0.8404, 0.7248
lola11-04-pred, 0.8211, 0.6966
lola11-05-pred, 0.8313, 0.7113
lola11-06-pred, 0.8186, 0.6929
lola11-07-pred, 0.7852, 0.6464
lola11-08-pred, 0.8862, 0.7957
lola11-09-pred, 0.9026, 0.8225
lola11-10-pred, 0.8101, 0.6808
lola11-11-pred, 0.8506, 0.7400
lola11-12-pred, 0.8535, 0.7445
lola11-13-pred, 0.9352, 0.8783
lola11-14-pred, 0.8439, 0.7299
lola11-15-pred, 0.8513, 0.7411
lola11-16-pred, 0.8434, 0.7293
lola11-17-pred, 0.8968, 0.8130
lola11-18-pred, 0.9025, 0.8223
lola11-19-pred, 0.8447, 0.7312
lola11-20-pred, 0.6623, 0.4951
lola11-21-pred, 0.6524, 0.4842
lola11-22-pred, 0.8985, 0.8158
lola11-23-pred, 0.8622, 0.7577
lola11-24-pred, 0.8369, 0.7196
lola11-25-pred, 0.8246, 0.7016
lola11-26-pred, 0.8684, 0.7674
lola11-27-pred, 0.8516, 0.7415
lola11-28-pred, 0.8613, 0.7564
lola11-29-pred, 0.8244, 0.7013
lola11-30-pred, 0.8727, 0.7741
lola11-31-pred, 0.7727, 0.6295
lola11-32-pred, 0.8354, 0.7173
lola11-33-pred, 0.8095, 0.6800
lola11-34-pred, 0.8627, 0.7585
lola11-35-pred, 0.7770, 0.6354
lola11-36-pred, 0.8645, 0.7614
lola11-37-pred, 0.8262, 0.7039
lola11-38-pred, 0.8500, 0.7391
lola11-39-pred, 0.8474, 0.7353
lola11-40-pred, 0.8707, 0.7711
lola11-41-pred, 0.8763, 0.7798
lola11-42-pred, 0.9047, 0.8261
lola11-43-pred, 0.8312, 0.7111
lola11-44-pred, 0.6248, 0.4543
lola11-45-pred, 0.5899, 0.4183
lola11-46-pred, 0.8193, 0.6939
lola11-47-pred, 0.8208, 0.6961
lola11-48-pred, 0.7010, 0.5396
lola11-49-pred, 0.9149, 0.8432
lola11-50-pred, 0.6533, 0.4852
lola11-51-pred, 0.7762, 0.6343
lola11-52-pred, 0.5913, 0.4197
lola11-53-pred, 0.8200, 0.6949
lola11-54-pred, 0.8242, 0.7010
lola11-55-pred, 0.8386, 0.7221
