Arquivo,Dice Coefficient,Jaccard Index
lola11-01, 0.8635, 0.7599
lola11-02, 0.7494, 0.5993
lola11-03, 0.8300, 0.7094
lola11-04, 0.7661, 0.6208
lola11-05, 0.8044, 0.6727
lola11-06, 0.7978, 0.6637
lola11-07, 0.5673, 0.3959
lola11-08, 0.8431, 0.7288
lola11-09, 0.8874, 0.7975
lola11-10, 0.7988, 0.6650
lola11-11, 0.8498, 0.7388
lola11-12, 0.8512, 0.7410
lola11-13, 0.8165, 0.6899
lola11-14, 0.8275, 0.7057
lola11-15, 0.8181, 0.6922
lola11-16, 0.8326, 0.7133
lola11-17, 0.8942, 0.8086
lola11-18, 0.9017, 0.8211
lola11-19, 0.8307, 0.7104
lola11-20, 0.6573, 0.4895
lola11-21, 0.5432, 0.3729
lola11-22, 0.8969, 0.8130
lola11-23, 0.8579, 0.7511
lola11-24, 0.7978, 0.6636
lola11-25, 0.7901, 0.6530
lola11-26, 0.8679, 0.7667
lola11-27, 0.0000, 0.0000
lola11-28, 0.7611, 0.6143
lola11-29, 0.8258, 0.7033
lola11-30, 0.8694, 0.7690
lola11-31, 0.7653, 0.6199
lola11-32, 0.7550, 0.6064
lola11-33, 0.8074, 0.6770
lola11-34, 0.8590, 0.7529
lola11-35, 0.7326, 0.5780
lola11-36, 0.0000, 0.0000
lola11-37, 0.6650, 0.4982
lola11-38, 0.8508, 0.7403
lola11-39, 0.8458, 0.7328
lola11-40, 0.8648, 0.7618
lola11-41, 0.8489, 0.7375
lola11-42, 0.8834, 0.7912
lola11-43, 0.8269, 0.7049
lola11-44, 0.5393, 0.3692
lola11-45, 0.5857, 0.4141
lola11-46, 0.7653, 0.6199
lola11-47, 0.8154, 0.6883
lola11-48, 0.6949, 0.5325
lola11-49, 0.9059, 0.8279
lola11-50, 0.6431, 0.4739
lola11-51, 0.7171, 0.5590
lola11-52, 0.5526, 0.3817
lola11-53, 0.8203, 0.6954
lola11-54, 0.7653, 0.6199
lola11-55, 0.8027, 0.6704
