Arquivo,Dice Coefficient,Jaccard Index
lola11-01-pred, 0.8309, 0.7107
lola11-02-pred, 0.8031, 0.6710
lola11-03-pred, 0.7623, 0.6159
lola11-04-pred, 0.7406, 0.5881
lola11-05-pred, 0.7125, 0.5534
lola11-06-pred, 0.7673, 0.6224
lola11-07-pred, 0.7213, 0.5641
lola11-08-pred, 0.8675, 0.7660
lola11-09-pred, 0.8610, 0.7560
lola11-10-pred, 0.7833, 0.6439
lola11-11-pred, 0.8092, 0.6796
lola11-12-pred, 0.8333, 0.7142
lola11-13-pred, 0.8997, 0.8177
lola11-14-pred, 0.8432, 0.7289
lola11-15-pred, 0.8281, 0.7066
lola11-16-pred, 0.8167, 0.6902
lola11-17-pred, 0.8903, 0.8024
lola11-18-pred, 0.8878, 0.7982
lola11-19-pred, 0.8134, 0.6854
lola11-20-pred, 0.6188, 0.4480
lola11-21-pred, 0.6296, 0.4594
lola11-22-pred, 0.8762, 0.7797
lola11-23-pred, 0.8068, 0.6762
lola11-24-pred, 0.8353, 0.7172
lola11-25-pred, 0.7939, 0.6582
lola11-26-pred, 0.8255, 0.7028
lola11-27-pred, 0.7005, 0.5391
lola11-28-pred, 0.8330, 0.7138
lola11-29-pred, 0.8019, 0.6694
lola11-30-pred, 0.8157, 0.6888
lola11-31-pred, 0.7423, 0.5901
lola11-32-pred, 0.8166, 0.6901
lola11-33-pred, 0.7762, 0.6343
lola11-34-pred, 0.8461, 0.7333
lola11-35-pred, 0.7237, 0.5671
lola11-36-pred, 0.6783, 0.5132
lola11-37-pred, 0.7853, 0.6465
lola11-38-pred, 0.8364, 0.7187
lola11-39-pred, 0.8067, 0.6760
lola11-40-pred, 0.8487, 0.7371
lola11-41-pred, 0.8515, 0.7413
lola11-42-pred, 0.8516, 0.7416
lola11-43-pred, 0.7738, 0.6311
lola11-44-pred, 0.6374, 0.4678
lola11-45-pred, 0.6695, 0.5032
lola11-46-pred, 0.7899, 0.6527
lola11-47-pred, 0.7909, 0.6541
lola11-48-pred, 0.6795, 0.5145
lola11-49-pred, 0.8677, 0.7663
lola11-50-pred, 0.6475, 0.4788
lola11-51-pred, 0.7149, 0.5563
lola11-52-pred, 0.6135, 0.4425
lola11-53-pred, 0.8020, 0.6695
lola11-54-pred, 0.7781, 0.6368
lola11-55-pred, 0.8403, 0.7247
