Arquivo,Dice Coefficient,Jaccard Index
lola11-01-pred, 0.8447, 0.7311
lola11-02-pred, 0.7382, 0.5851
lola11-03-pred, 0.8404, 0.7247
lola11-04-pred, 0.8217, 0.6973
lola11-05-pred, 0.8319, 0.7122
lola11-06-pred, 0.8191, 0.6936
lola11-07-pred, 0.7847, 0.6457
lola11-08-pred, 0.8846, 0.7930
lola11-09-pred, 0.9003, 0.8187
lola11-10-pred, 0.8109, 0.6819
lola11-11-pred, 0.8515, 0.7414
lola11-12-pred, 0.8517, 0.7417
lola11-13-pred, 0.9338, 0.8758
lola11-14-pred, 0.8447, 0.7311
lola11-15-pred, 0.8522, 0.7425
lola11-16-pred, 0.8411, 0.7258
lola11-17-pred, 0.8982, 0.8152
lola11-18-pred, 0.9015, 0.8207
lola11-19-pred, 0.8452, 0.7320
lola11-20-pred, 0.6646, 0.4977
lola11-21-pred, 0.6543, 0.4863
lola11-22-pred, 0.8965, 0.8125
lola11-23-pred, 0.8634, 0.7596
lola11-24-pred, 0.8358, 0.7179
lola11-25-pred, 0.8236, 0.7001
lola11-26-pred, 0.8690, 0.7683
lola11-27-pred, 0.8516, 0.7415
lola11-28-pred, 0.8601, 0.7545
lola11-29-pred, 0.8252, 0.7024
lola11-30-pred, 0.8732, 0.7749
lola11-31-pred, 0.7723, 0.6291
lola11-32-pred, 0.8307, 0.7104
lola11-33-pred, 0.8098, 0.6803
lola11-34-pred, 0.8629, 0.7589
lola11-35-pred, 0.7820, 0.6421
lola11-36-pred, 0.8645, 0.7614
lola11-37-pred, 0.8279, 0.7063
lola11-38-pred, 0.8504, 0.7398
lola11-39-pred, 0.8474, 0.7352
lola11-40-pred, 0.8711, 0.7717
lola11-41-pred, 0.8747, 0.7774
lola11-42-pred, 0.9055, 0.8273
lola11-43-pred, 0.8313, 0.7113
lola11-44-pred, 0.6228, 0.4522
lola11-45-pred, 0.5911, 0.4196
lola11-46-pred, 0.8188, 0.6931
lola11-47-pred, 0.8209, 0.6962
lola11-48-pred, 0.7060, 0.5456
lola11-49-pred, 0.9141, 0.8419
lola11-50-pred, 0.6558, 0.4879
lola11-51-pred, 0.7771, 0.6354
lola11-52-pred, 0.5995, 0.4281
lola11-53-pred, 0.8200, 0.6950
lola11-54-pred, 0.8245, 0.7014
lola11-55-pred, 0.8389, 0.7225
