Arquivo,Dice Coefficient,Jaccard Index
lola11-01, 0.8139, 0.6863
lola11-02, 0.7301, 0.5750
lola11-03, 0.6401, 0.4707
lola11-04, 0.7486, 0.5982
lola11-05, 0.7062, 0.5458
lola11-06, 0.7920, 0.6557
lola11-07, 0.7660, 0.6207
lola11-08, 0.8425, 0.7279
lola11-09, 0.8104, 0.6812
lola11-10, 0.7112, 0.5518
lola11-11, 0.7423, 0.5902
lola11-12, 0.8093, 0.6797
lola11-13, 0.6300, 0.4598
lola11-14, 0.7732, 0.6303
lola11-15, 0.8069, 0.6764
lola11-16, 0.7695, 0.6253
lola11-17, 0.6534, 0.4852
lola11-18, 0.8783, 0.7830
lola11-19, 0.7699, 0.6259
lola11-20, 0.6289, 0.4586
lola11-21, 0.6470, 0.4781
lola11-22, 0.8230, 0.6993
lola11-23, 0.8170, 0.6906
lola11-24, 0.7988, 0.6650
lola11-25, 0.7926, 0.6565
lola11-26, 0.7706, 0.6269
lola11-27, 0.8194, 0.6941
lola11-28, 0.7750, 0.6327
lola11-29, 0.6048, 0.4334
lola11-30, 0.8098, 0.6803
lola11-31, 0.7382, 0.5850
lola11-32, 0.7288, 0.5733
lola11-33, 0.6973, 0.5353
lola11-34, 0.7415, 0.5892
lola11-35, 0.5429, 0.3726
lola11-36, 0.6971, 0.5350
lola11-37, 0.5946, 0.4231
lola11-38, 0.7404, 0.5878
lola11-39, 0.7908, 0.6540
lola11-40, 0.6121, 0.4411
lola11-41, 0.7555, 0.6070
lola11-42, 0.7972, 0.6628
lola11-43, 0.7262, 0.5701
lola11-44, 0.6179, 0.4470
lola11-45, 0.5265, 0.3573
lola11-46, 0.7242, 0.5676
lola11-47, 0.6511, 0.4827
lola11-48, 0.6573, 0.4895
lola11-49, 0.7270, 0.5711
lola11-50, 0.6449, 0.4759
lola11-51, 0.6859, 0.5219
lola11-52, 0.5389, 0.3688
lola11-53, 0.8029, 0.6707
lola11-54, 0.6792, 0.5143
lola11-55, 0.7813, 0.6411

