n,classifier,cnn,Training accuracy,Test accuracy,Training recall,Test recall,Training precision,Test precision,Training f1 Score,Test f1 Score
0,RANDON FOREST,inceptionv3,99.0,97.32,100.0,96.44,97.29,96.29,95.0,96.0
1,RANDON FOREST,inceptionv3,100.0,97.32,98.0,98.44,97.29,98.29,99.0,98.0
2,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
3,RANDON FOREST,inceptionv3,100.0,97.32,99.0,97.94,97.29,97.79,98.0,97.5
4,RANDON FOREST,inceptionv3,99.5,97.32,100.0,96.94,97.29,96.79,96.0,96.5
5,RANDON FOREST,inceptionv3,99.9,97.32,100.0,97.34,97.29,97.19000000000001,96.8,96.9
6,RANDON FOREST,inceptionv3,100.0,97.32,99.8,97.53999999999999,97.29,97.39,97.2,97.1
7,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
8,RANDON FOREST,inceptionv3,100.0,97.32,99.6,97.64,97.29,97.49000000000001,97.4,97.2
9,RANDON FOREST,inceptionv3,99.8,97.32,100.0,97.24,97.29,97.09,96.6,96.8
10,RANDON FOREST,inceptionv3,99.0,97.32,100.0,96.44,97.29,96.29,95.0,96.0
11,RANDON FOREST,inceptionv3,100.0,97.32,98.0,98.44,97.29,98.29,99.0,98.0
12,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
13,RANDON FOREST,inceptionv3,100.0,97.32,99.0,97.94,97.29,97.79,98.0,97.5
14,RANDON FOREST,inceptionv3,99.5,97.32,100.0,96.94,97.29,96.79,96.0,96.5
15,RANDON FOREST,inceptionv3,99.9,97.32,100.0,97.34,97.29,97.19000000000001,96.8,96.9
16,RANDON FOREST,inceptionv3,100.0,97.32,99.8,97.53999999999999,97.29,97.39,97.2,97.1
17,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
18,RANDON FOREST,inceptionv3,100.0,97.32,99.6,97.64,97.29,97.49000000000001,97.4,97.2
19,RANDON FOREST,inceptionv3,99.8,97.32,100.0,97.24,97.29,97.09,96.6,96.8
20,RANDON FOREST,inceptionv3,99.0,97.32,100.0,96.44,97.29,96.29,95.0,96.0
21,RANDON FOREST,inceptionv3,100.0,97.32,98.0,98.44,97.29,98.29,99.0,98.0
22,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
23,RANDON FOREST,inceptionv3,100.0,97.32,99.0,97.94,97.29,97.79,98.0,97.5
24,RANDON FOREST,inceptionv3,99.5,97.32,100.0,96.94,97.29,96.79,96.0,96.5
25,RANDON FOREST,inceptionv3,99.9,97.32,100.0,97.34,97.29,97.19000000000001,96.8,96.9
26,RANDON FOREST,inceptionv3,100.0,97.32,99.8,97.53999999999999,97.29,97.39,97.2,97.1
27,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
