,n,classifier,cnn,Training accuracy,Test accuracy,Training recall,Test recall,Training precision,Test precision,Training f1 Score,Test f1 Score
0,0,RANDON FOREST,inceptionv3,99.0,97.32,100.0,96.44,97.29,96.29,95.0,96.0
1,1,RANDON FOREST,inceptionv3,100.0,97.32,98.0,98.44,97.29,98.29,99.0,98.0
2,2,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
3,3,RANDON FOREST,inceptionv3,100.0,97.32,99.0,97.94,97.29,97.79,98.0,97.5
4,4,RANDON FOREST,inceptionv3,99.5,97.32,100.0,96.94,97.29,96.79,96.0,96.5
5,5,RANDON FOREST,inceptionv3,99.9,97.32,100.0,97.34,97.29,97.19,96.8,96.9
6,6,RANDON FOREST,inceptionv3,100.0,97.32,99.8,97.54,97.29,97.39,97.2,97.1
7,7,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
8,8,RANDON FOREST,inceptionv3,100.0,97.32,99.6,97.64,97.29,97.49,97.4,97.2
9,9,RANDON FOREST,inceptionv3,99.8,97.32,100.0,97.24,97.29,97.09,96.6,96.8
10,10,RANDON FOREST,inceptionv3,99.0,97.32,100.0,96.44,97.29,96.29,95.0,96.0
11,11,RANDON FOREST,inceptionv3,100.0,97.32,98.0,98.44,97.29,98.29,99.0,98.0
12,12,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
13,13,RANDON FOREST,inceptionv3,100.0,97.32,99.0,97.94,97.29,97.79,98.0,97.5
14,14,RANDON FOREST,inceptionv3,99.5,97.32,100.0,96.94,97.29,96.79,96.0,96.5
15,15,RANDON FOREST,inceptionv3,99.9,97.32,100.0,97.34,97.29,97.19,96.8,96.9
16,16,RANDON FOREST,inceptionv3,100.0,97.32,99.8,97.54,97.29,97.39,97.2,97.1
17,17,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
18,18,RANDON FOREST,inceptionv3,100.0,97.32,99.6,97.64,97.29,97.49,97.4,97.2
19,19,RANDON FOREST,inceptionv3,99.8,97.32,100.0,97.24,97.29,97.09,96.6,96.8
20,20,RANDON FOREST,inceptionv3,99.0,97.32,100.0,96.44,97.29,96.29,95.0,96.0
21,21,RANDON FOREST,inceptionv3,100.0,97.32,98.0,98.44,97.29,98.29,99.0,98.0
22,22,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
23,23,RANDON FOREST,inceptionv3,100.0,97.32,99.0,97.94,97.29,97.79,98.0,97.5
24,24,RANDON FOREST,inceptionv3,99.5,97.32,100.0,96.94,97.29,96.79,96.0,96.5
25,25,RANDON FOREST,inceptionv3,99.9,97.32,100.0,97.34,97.29,97.19,96.8,96.9
26,26,RANDON FOREST,inceptionv3,100.0,97.32,99.8,97.54,97.29,97.39,97.2,97.1
27,27,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
28,28,RANDON FOREST,inceptionv3,100.0,97.32,99.6,97.64,97.29,97.49,97.4,97.2
29,29,RANDON FOREST,inceptionv3,99.8,97.32,100.0,97.24,97.29,97.09,96.6,96.8
30,30,RANDON FOREST,inceptionv3,99.0,97.32,100.0,96.44,97.29,96.29,95.0,96.0
31,31,RANDON FOREST,inceptionv3,100.0,97.32,98.0,98.44,97.29,98.29,99.0,98.0
32,32,RANDON FOREST,inceptionv3,100.0,97.32,100.0,97.44,97.29,97.29,97.0,97.0
33,33,RANDON FOREST,inceptionv3,100.0,97.32,99.0,97.94,97.29,97.79,98.0,97.5
34,34,RANDON FOREST,inceptionv3,99.5,97.32,100.0,96.94,97.29,96.79,96.0,96.5
35,35,RANDON FOREST,inceptionv3,99.9,97.32,100.0,97.34,97.29,97.19,96.8,96.9
